#separator:Tab
#html:true
#notetype:Basic
#deck:Pareto LeetCode
#tags column:3
#columns:Front	Back	Tags
<b>11. 3Sum</b><br><a href="https://leetcode.com/problems/3sum/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Two Pointers<br><b>Difficulty:</b> Medium<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto two_pointers medium p11
<b>12. Container With Most Water</b><br><a href="https://leetcode.com/problems/container-with-most-water/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Two Pointers<br><b>Difficulty:</b> Medium<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto two_pointers medium p12
<b>13. Best Time to Buy and Sell Stock</b><br><a href="https://leetcode.com/problems/best-time-to-buy-and-sell-stock/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Sliding Window<br><b>Difficulty:</b> Easy<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto sliding_window easy p13
<b>14. Longest Substring Without Repeating Characters</b><br><a href="https://leetcode.com/problems/longest-substring-without-repeating-characters/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Sliding Window<br><b>Difficulty:</b> Medium<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto sliding_window medium p14
<b>15. Longest Repeating Character Replacement</b><br><a href="https://leetcode.com/problems/longest-repeating-character-replacement/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Sliding Window<br><b>Difficulty:</b> Medium<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto sliding_window medium p15
<b>16. Valid Parentheses</b><br><a href="https://leetcode.com/problems/valid-parentheses/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Stack<br><b>Difficulty:</b> Easy<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto stack easy p16
<b>17. Min Stack</b><br><a href="https://leetcode.com/problems/min-stack/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Stack<br><b>Difficulty:</b> Medium<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto stack medium p17
<b>18. Daily Temperatures</b><br><a href="https://leetcode.com/problems/daily-temperatures/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Stack<br><b>Difficulty:</b> Medium<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto stack medium p18
<b>19. Binary Search</b><br><a href="https://leetcode.com/problems/binary-search/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Binary Search<br><b>Difficulty:</b> Easy<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto binary_search easy p19
<b>20. Find Minimum in Rotated Sorted Array</b><br><a href="https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Binary Search<br><b>Difficulty:</b> Medium<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto binary_search medium p20
<b>21. Search in Rotated Sorted Array</b><br><a href="https://leetcode.com/problems/search-in-rotated-sorted-array/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Binary Search<br><b>Difficulty:</b> Medium<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto binary_search medium p21
<b>22. Reverse Linked List</b><br><a href="https://leetcode.com/problems/reverse-linked-list/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Linked List<br><b>Difficulty:</b> Easy<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto linked_list easy p22
<b>23. Merge Two Sorted Lists</b><br><a href="https://leetcode.com/problems/merge-two-sorted-lists/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Linked List<br><b>Difficulty:</b> Easy<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto linked_list easy p23
<b>24. Reorder List</b><br><a href="https://leetcode.com/problems/reorder-list/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Linked List<br><b>Difficulty:</b> Medium<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto linked_list medium p24
<b>25. Remove Nth Node From End of List</b><br><a href="https://leetcode.com/problems/remove-nth-node-from-end-of-list/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Linked List<br><b>Difficulty:</b> Medium<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto linked_list medium p25
<b>26. Linked List Cycle</b><br><a href="https://leetcode.com/problems/linked-list-cycle/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Linked List<br><b>Difficulty:</b> Easy<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto linked_list easy p26
<b>27. LRU Cache</b><br><a href="https://leetcode.com/problems/lru-cache/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Linked List<br><b>Difficulty:</b> Medium<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto linked_list medium p27
<b>28. Invert Binary Tree</b><br><a href="https://leetcode.com/problems/invert-binary-tree/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Trees<br><b>Difficulty:</b> Easy<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto trees easy p28
<b>29. Maximum Depth of Binary Tree</b><br><a href="https://leetcode.com/problems/maximum-depth-of-binary-tree/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Trees<br><b>Difficulty:</b> Easy<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto trees easy p29
<b>30. Diameter of Binary Tree</b><br><a href="https://leetcode.com/problems/diameter-of-binary-tree/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Trees<br><b>Difficulty:</b> Easy<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto trees easy p30
<b>31. Balanced Binary Tree</b><br><a href="https://leetcode.com/problems/balanced-binary-tree/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Trees<br><b>Difficulty:</b> Easy<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto trees easy p31
<b>32. Same Tree</b><br><a href="https://leetcode.com/problems/same-tree/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Trees<br><b>Difficulty:</b> Easy<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto trees easy p32
<b>33. Subtree of Another Tree</b><br><a href="https://leetcode.com/problems/subtree-of-another-tree/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Trees<br><b>Difficulty:</b> Easy<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto trees easy p33
<b>34. Lowest Common Ancestor of a Binary Search Tree</b><br><a href="https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Trees<br><b>Difficulty:</b> Medium<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto trees medium p34
<b>35. Binary Tree Level Order Traversal</b><br><a href="https://leetcode.com/problems/binary-tree-level-order-traversal/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Trees<br><b>Difficulty:</b> Medium<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto trees medium p35
<b>36. Binary Tree Right Side View</b><br><a href="https://leetcode.com/problems/binary-tree-right-side-view/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Trees<br><b>Difficulty:</b> Medium<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto trees medium p36
<b>37. Count Good Nodes in Binary Tree</b><br><a href="https://leetcode.com/problems/count-good-nodes-in-binary-tree/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Trees<br><b>Difficulty:</b> Medium<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto trees medium p37
<b>38. Validate Binary Search Tree</b><br><a href="https://leetcode.com/problems/validate-binary-search-tree/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Trees<br><b>Difficulty:</b> Medium<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto trees medium p38
<b>39. Kth Smallest Element in a BST</b><br><a href="https://leetcode.com/problems/kth-smallest-element-in-a-bst/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Trees<br><b>Difficulty:</b> Medium<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto trees medium p39
<b>40. Kth Largest Element in a Stream</b><br><a href="https://leetcode.com/problems/kth-largest-element-in-a-stream/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Heap / Priority Queue<br><b>Difficulty:</b> Easy<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto heap easy p40
<b>41. Last Stone Weight</b><br><a href="https://leetcode.com/problems/last-stone-weight/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Heap / Priority Queue<br><b>Difficulty:</b> Easy<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto heap easy p41
<b>42. Kth Largest Element in an Array</b><br><a href="https://leetcode.com/problems/kth-largest-element-in-an-array/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Heap / Priority Queue<br><b>Difficulty:</b> Medium<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto heap medium p42
<b>43. Number of Islands</b><br><a href="https://leetcode.com/problems/number-of-islands/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Graphs<br><b>Difficulty:</b> Medium<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto graphs medium p43
<b>44. Max Area of Island</b><br><a href="https://leetcode.com/problems/max-area-of-island/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Graphs<br><b>Difficulty:</b> Medium<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto graphs medium p44
<b>45. Clone Graph</b><br><a href="https://leetcode.com/problems/clone-graph/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Graphs<br><b>Difficulty:</b> Medium<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto graphs medium p45
<b>46. Pacific Atlantic Water Flow</b><br><a href="https://leetcode.com/problems/pacific-atlantic-water-flow/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Graphs<br><b>Difficulty:</b> Medium<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto graphs medium p46
<b>47. Surrounded Regions</b><br><a href="https://leetcode.com/problems/surrounded-regions/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Graphs<br><b>Difficulty:</b> Medium<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto graphs medium p47
<b>48. Course Schedule</b><br><a href="https://leetcode.com/problems/course-schedule/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Graphs<br><b>Difficulty:</b> Medium<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto graphs medium p48
<b>49. Course Schedule II</b><br><a href="https://leetcode.com/problems/course-schedule-ii/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Graphs<br><b>Difficulty:</b> Medium<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto graphs medium p49
